Ano,Recife,Salvador,Fortaleza,São Paulo,Rio de Janeiro,Vitória,Belém,Manaus,Macapá,Curitiba,Goiania
1975,1249821,1237373,1109637,7198608,4857716,163877,771665,388811,108752,765716,518469
1990,1335684,2015392,1708741,9700111,5487346,276173,1235625,996716,166753,1248395,998471
1992,1303389,2110334,1796116,9727889,5508048,262742,1273825,1047232,173826,1337157,940757
1993,1314857,2174072,1846955,9842059,5547033,267448,1297592,1078277,179273,1364320,957564
1994,1322403,2218962,1882539,9931038,5577141,271389,1148242,1108612,184239,1386692,973626
1995,1329768,2262731,1917236,10017821,5606497,275227,1167841,1138198,189080,1408534,989285
1997,1357967,2245522,2014600,9887614,5569181,267646,1160181,1193727,233925,1516467,1022759
1998,1368029,2274167,2056285,9927868,5584067,269135,1173534,1224362,244972,1550317,1039230
1999,1378087,2302832,2097757,9968485,5598953,270626,1186926,1255049,256033,1584232,1056330
2000,1388193,2331612,2139372,10009231,5613897,272126,1200355,1285841,267140,1618279,1073490
2002,1449135,2520504,2219837,10600060,5937253,299357,1322683,1488805,306583,1644600,1129274
2003,1461320,2556429,2256233,10677019,5974081,302633,1342202,1527314,318761,1671194,1146106
2004,1486869,2631831,2332657,10838581,6051399,309507,1386482,1592555,326466,1727010,1181438
2005,1501008,2673560,2374944,10927985,6094183,313312,1405871,1644690,355408,1757904,1201006
2006,1515052,2714018,2416920,11016703,6136652,317085,1428368,1688524,368367,1788559,1220412
2008,1549980,2948733,2473614,10990249,6161047,317817,1424124,1709010,359020,1828092,1265394
2010,1537704,2675656,2452185,11253503,6320446,327801,1393399,1802014,398204,1751907,1302001
2011,1546516,2693606,2476589,11316119,6355949,330526,1402056,1832424,407023,1764541,1318149
2012,1555039,2710968,2500194,11376685,6390290,333162,1410430,1861838,415554,1776761,1333767
2013,1599513,2883682,2551806,11821873,6429923,348268,1425922,1982177,437256,1848946,1393575
2014,1608488,2902927,2571896,11895893,6453682,352104,1432844,2020301,446757,1864416,1412364
2015,1617183,2921087,2591188,11967825,6476631,355875,1439561,2057711,456171,1879355,1430697
2016,1625583,2938092,2609716,12038175,6498837,359555,1446042,2094391,465495,1893997,1448639
2017,1633697,2953986,2627482,12106920,6520266,363140,1452275,2130264,474706,1908359,1466105
2018,1637834,2857329,2643247,12176866,6688927,358267,1485732,2145444,493634,1917185,1495705
2019,1645727,2872347,2669342,12252023,6718903,493838,1492745,2182763,503327,1933105,1516113
